title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable land.day.gpp_tavg-u-hxy-lus (Eday.gppVgt),725,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/725,day land,gpp_tavg-u-hxy-lus,gross_primary_productivity_of_biomass_expressed_as_carbon,Not present,area: areacella,area: time: mean where sector,"The rate of synthesis of biomass from inorganic precursors by autotrophs (""producers"") expressed as the mass of carbon which it contains. For example, photosynthesis in plants or phytoplankton. The producers also respire some of this biomass and the difference is referred to as the net primary production. Reported on land-use tiles.",longitude latitude vegtype time,day,Gross Primary Production on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],land,,,kg m-2 s-1,New,,,,,
Variable land.day.evspsblveg_tavg-u-hxy-u (Eday.evspsblveg),723,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/723,day land,evspsblveg_tavg-u-hxy-u,water_evaporation_flux_from_canopy,Not present,area: areacella,area: time: mean,The same as the current variable evspsblveg but defined on daily timescales.,longitude latitude time,day,Daily water evaporation flux from canopy,land,,,kg m-2 s-1,New,,,,,
Variable land.day.evspsblsoi_tavg-u-hxy-u (Eday.evspsblsoi),722,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/722,day land,evspsblsoi_tavg-u-hxy-u,water_evaporation_flux_from_soil,Not present,area: areacella,area: time: mean,"Water evaporation flux from soil but for daily averages i.e., the evspsblsoi variable, which is only currently defined for monthly averages",longitude latitude time,day,Daily water evaporation flux from soil,land,,,kg m-2 s-1,New,,,,,
Variable land.1hr.tas_tavg-u-hxy-u (E1hr.tas),669,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/669,1hr land,tas_tavg-u-hxy-u,air_temperature,Not present,area: areacella,area: time: mean,Hourly Temperature at 2m above the surface,longitude latitude time,1hr,Hourly Temperature at Surface,land,,,K,New,,,,,
Variable land.3hr.bldep_tpt-u-hxy-u (3hrPt.bldep),119,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/119,3hr land,bldep_tpt-u-hxy-u,atmosphere_boundary_layer_thickness,Not present,area: areacella,area: mean time: point,Boundary Layer Depth every 3 hours,longitude latitude time1,3hr,Boundary Layer Depth,land,,,m,New,,,,,
Variable land.3hr.tran_tavg-u-hxy-u (3hr.tran),112,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/112,3hr land,tran_tavg-u-hxy-u,transpiration_flux,Not present,area: areacella,area: time: mean,Transpiration,longitude latitude time,3hr,Transpiration,land,up,,kg m-2 s-1,New,,,,,
Variable land.3hr.rss_tavg-u-hxy-u (3hr.srfrad),106,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/106,3hr land,rss_tavg-u-hxy-u,surface_net_downward_radiative_flux,Not present,area: areacella,area: time: mean,Net radiative flux at surface,longitude latitude time,3hr,Net radiative flux at surface,land,down,,W m-2,New,,,,,
Variable land.3hr.mrsol_tavg-z1m-hxy-lnd (3hr.mrso10),95,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/95,3hr land,mrsol_tavg-z1m-hxy-lnd,mass_content_of_water_in_soil_layer,Not present,area: areacella,area: mean where land time: mean,Soil moisture at 3hr but for 0-1m,longitude latitude time sdepth10,3hr,Soil moisture,land,,,kg m-2,New,,,,,
Variable land.3hr.mrros_tavg-u-hxy-lnd (3hr.mrros),94,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/94,3hr land,mrros_tavg-u-hxy-lnd,surface_runoff_flux,Not present,area: areacella,area: mean where land time: mean,surface_runoff_flux,longitude latitude time,3hr,Surface Runoff,land,,,kg m-2 s-1,New,,,,,
Variable land.3hr.hfdsl_tavg-u-hxy-u (3hr.hfdsl),87,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/87,3hr land,hfdsl_tavg-u-hxy-u,surface_downward_heat_flux_in_air,Not present,area: areacella,area: time: mean,Ground heat flux at 3hr,longitude latitude time,3hr,Ground heat flux at 3hr,land,up,,W m-2,New,,,,,
Variable land.3hr.evspsblveg_tavg-u-hxy-u (3hr.evspsblveg),82,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/82,3hr land,evspsblveg_tavg-u-hxy-u,water_evaporation_flux_from_canopy,Not present,area: areacella,area: time: mean,Evaporation from canopy,longitude latitude time,3hr,Evaporation from canopy,land,up,,kg m-2 s-1,New,,,,,
Variable land.3hr.evspsblsoi_tavg-u-hxy-u (3hr.evspsblsoi),81,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/81,3hr land,evspsblsoi_tavg-u-hxy-u,water_evaporation_flux_from_soil,Not present,area: areacella,area: time: mean,Water evaporation from soil,longitude latitude time,3hr,Water evaporation from soil,land,up,,kg m-2 s-1,New,,,,,
